rating,handle,challengeregdate,submissionnumber,language,provisionalpoints
2629,wleite,2017-10-09 21:57:32,1,Java,818712.44
,ngockien3393,2017-10-09 23:13:17,0,,
,paolog,2017-10-09 23:21:43,8,Java,464321.44
,aureum_borealis,2017-10-09 23:32:14,0,,
,abinashn,2017-10-10 00:32:04,0,,
1233,cjalmeida,2017-10-10 00:35:18,12,Java,848217.23
,penpo,2017-10-10 00:42:51,0,,
1630,ZFTurbo,2017-10-10 02:26:26,5,Java,879781.96
,ArulSelvam,2017-10-10 04:39:26,0,,
,ysfs44or2,2017-10-10 06:50:44,0,,
1505,XD_XD,2017-10-10 10:09:28,0,,
930,_g_r_,2017-10-10 12:27:17,0,,
,mitrevf,2017-10-10 12:27:51,0,,
,HGold325,2017-10-10 13:26:19,0,,
,shantanudev,2017-10-10 17:18:11,0,,
,coderkewang,2017-10-10 20:19:07,0,,
904,rainforest,2017-10-11 01:22:31,0,,
,aletan,2017-10-11 02:22:53,0,,
,thomasscms,2017-10-11 02:36:51,0,,
1714,nizhib,2017-10-11 09:14:50,0,,
,Chyndashgo,2017-10-11 09:38:24,0,,
,tanj,2017-10-11 11:19:09,0,,
1755,gardn999,2017-10-11 16:06:20,2,Java,630386.57
1012,ChaseRLewis,2017-10-12 00:49:36,0,,
,nikhalster,2017-10-12 01:05:42,0,,
588,mani_sdet,2017-10-12 01:56:17,0,,
,EtienneDavid,2017-10-12 04:14:59,0,,
,hasan.asyari,2017-10-12 04:22:38,0,,
,alfiya_Zi,2017-10-12 06:43:00,0,,
,txefsono,2017-10-12 08:11:03,4,Java,836373.44
,tselea,2017-10-12 09:19:48,38,Java,834636.82
,adrianalbert,2017-10-12 10:07:35,0,,
1261,kphmd,2017-10-12 10:40:33,2,Java,78689.92
,mneagul,2017-10-13 00:37:52,2,Java,785913.43
,the1owl,2017-10-13 08:05:17,0,,
,presa,2017-10-13 14:20:40,0,,
1472,AntonioMiguel,2017-10-13 18:09:24,4,Java,509883.00
,swi,2017-10-13 22:37:13,0,,
,nisha18,2017-10-14 00:46:35,0,,
,abhinav_kssk,2017-10-14 05:17:58,0,,
1602,sorokinv,2017-10-14 09:54:10,46,Java,852114.27
,alshev,2017-10-14 17:24:15,0,,
,charlesxjyang,2017-10-14 23:28:41,16,Java,0.00
,fireant,2017-10-15 02:07:30,0,,
973,dwij,2017-10-15 05:32:55,0,,
,jozefr5,2017-10-15 11:44:30,0,,
,shubra,2017-10-16 09:14:01,0,,
1249,ketzjs09,2017-10-16 12:50:24,0,,
,efriesema,2017-10-16 16:55:48,0,,
,rhammell,2017-10-16 18:36:25,11,Java,656517.27
1859,EvbCFfp1XB,2017-10-16 21:17:04,7,Java,279279.05
,joeny.bui,2017-10-16 22:40:45,0,,
,german.novikov,2017-10-17 03:40:25,0,,
,vikas_hada,2017-10-17 07:56:39,0,,
,deepscience,2017-10-17 13:31:22,0,,
,sauravtuladhar,2017-10-17 17:10:53,4,Java,614565.52
